,n,m,Greedy_Size,Greedy_Time,lp_cover_size,lp_time,size_comparison_factor,time_comparison_factor
0,10,10,6.0,4.315376281738281e-05,6,0.002582550048828125,1.0,59.84530386740332
1,10,20,8.0,2.384185791015625e-05,9,0.0013513565063476562,1.125,56.68
2,10,30,8.0,3.266334533691406e-05,10,0.001085042953491211,1.25,33.21897810218978
3,10,40,10.0,7.390975952148438e-05,10,0.0014564990997314453,1.0,19.706451612903226
4,20,20,16.0,4.2e-05,8,0.0009121894836425781,0.5,21.718797229585196
5,20,40,16.0,7.4e-05,18,0.0014257431030273438,1.125,19.2667986895587
6,20,60,20.0,0.000114,20,0.0016217231750488281,1.0,14.225641886393229
7,20,80,18.0,0.000154,20,0.002818584442138672,1.1111111111111112,18.302496377523845
