level_index,shot_index,bird_start_x,bird_start_y,target_original_idx,angle_deg,velocity,destroyed_original_indices
0,0,0.4183134436050201,0.2892849831161759,1,25.940664029929643,5.667176244334654,1|3|4|5|6|7|8|9
0,1,0.0034747480369016204,0.911161624985007,0,44.483681713260445,11.002810268452379,3|4|5|8|9
0,2,0.3104597298047228,0.8343620401562072,0,45.75226442760214,10.930329925917215,3|4|5|8|9
0,3,0.18464934442786207,0.09346881049412581,0,47.660795148237824,11.207282481856732,3|4|5|8|9
0,4,0.6862272669845714,0.3338125560639884,0,48.633591800298596,10.980386335237096,3|4|5|8|9
1,0,0.6043576573637495,0.025616864267145045,9,49.849478332106386,10.446379758640473,
1,1,0.148056948065734,0.4912459197434159,6,51.13212524036892,8.399901041662039,
1,2,0.5734698207794342,0.965438051466748,8,45.175794468812995,7.072030494443008,
1,3,0.065400622284978,0.3665160899295071,1,18.196194835905402,6.749339530726946,
1,4,0.7337794904725242,0.27548465516082987,9,49.52140413613882,10.316932735901846,
2,0,0.5511103350971629,0.6173588547088722,0,14.466148027198203,10.306700213318603,0|1|2|3|6|7|8|9
2,1,0.2093784847264849,0.018098459550832224,4,38.110233907456035,12.771557454596055,2|3|5|6|7|8|9
2,2,0.06537206616454816,0.6163403948627221,4,36.154585387689984,12.676684597299648,2|3|5|6|7|8|9
2,3,0.4573364288827816,0.9627547115808973,4,35.97970949002965,12.473759308556604,2|3|5|6|7|8|9
2,4,0.580817713778928,0.7261842164754152,4,36.92993007146147,12.489952724987392,2|3|5|6|7|8|9
3,0,0.033043108849766245,0.022192426079242322,0,22.670383692578643,8.997410197210689,0|3|4|7|8|9
3,1,0.4061778925886176,0.03457868257135133,5,79.01514904698755,8.53079542140832,
3,2,0.5399342835498707,0.6388150397673078,1,52.13024383120118,11.18493217122324,
3,3,0.3390640026487278,0.02437056137222826,1,53.06675632973324,11.449109196499803,
3,4,0.3311491808734659,0.7078162036921622,1,51.20580060802429,11.217901457728887,
4,0,0.9016061064037013,0.9145940867885982,3,2.132061936645754,7.7927620340210995,0|1|2|3|4|6|8|9
4,1,0.7182618211931106,0.04281017679015986,5,22.300622670414686,13.333759935940954,0|1|2|4|6|8|9
4,2,0.837992427925796,0.32477372462090215,5,21.611978783066668,13.253968680834697,0|1|2|4|6|8|9
4,3,0.7828832617030725,0.8607664055574425,5,19.941154839404835,13.202621670889473,0|1|2|4|8|9
4,4,0.7095071094452735,0.17292422226839554,5,21.909051353482983,13.318739116212358,0|1|2|4|6|8|9
5,0,0.6121163974648698,0.2813110468449457,2,36.31148320048749,10.286833169910656,0|1|2|4|5|6|7|8|9
5,1,0.7342714315725347,0.42693741312035427,3,61.95319853532331,8.836809509725205,0|1|2|4|5|6|7|9
