level_index,shot_index,bird_start_x,bird_start_y,target_original_idx,angle_deg,velocity,hit_block,destroyed_original_indices
0,0,0.015030312735761941,0.6662820050095466,0,45.320434379436506,11.075905834326877,False,3|4|5|8|9
0,1,0.2494372059998199,0.844991140824563,1,15.734784099950666,5.632480279836719,False,1|6|7
0,2,0.3663039363979368,0.9590475839714511,2,72.39143449545676,9.239479141923523,True,
1,0,0.028130199122234245,0.3137589971903283,0,12.324394650425518,10.557217429843869,True,
1,1,0.8432430284507362,0.8828197632593463,1,14.416978122204688,6.067285261260654,True,
1,2,0.34144956276781846,0.8556241980885023,2,14.455842407808117,9.114552775376248,True,
1,3,0.8257923766390233,0.08030517939531512,3,30.79746834398191,10.49600599866078,True,
1,4,0.9891875196324446,0.017530917620482533,5,6.2425894257510866,9.661471006644737,False,0|1|2|3|5|6|7|8
2,0,0.5599783620468247,0.9567502799796261,0,12.726328270460089,10.264580815749476,False,0|1|2|3|6|7|8|9
2,1,0.1463441714257695,0.770259425440299,4,35.884689558120236,12.616238512787335,False,5
3,0,0.29598739655441986,0.9292895197099751,0,17.190426343708157,8.688749796501549,False,0|3|4|7|8|9
3,1,0.17745445342313482,0.36343144311146314,1,51.62220608888584,11.376241244312004,True,
3,2,0.3441456631192016,0.6148286494186956,2,31.688701476181798,12.536905386815501,True,
3,3,0.31412468776162383,0.7824346995296945,5,77.02730909019785,8.111181011216015,True,
3,4,0.44902373476835256,0.29251134517978106,6,38.04860726733281,10.980066388109236,True,
4,0,0.9921578357983508,0.08110638549709448,0,77.92311947996755,9.295564474451249,False,0|1|2|3|8
4,1,0.6013837053337617,0.37667680103673573,4,27.793815963196685,14.182632037295415,True,
4,2,0.6490573877457397,0.8229349816016824,5,19.908939488610354,13.254001396040616,False,4|9
4,3,0.9604882141348219,0.488761034404423,6,39.69686282112426,4.5704631420510315,False,6
4,4,0.49183409143232915,0.07524655143035575,7,53.00991021128741,11.397587977042274,False,
5,0,0.32027392939665733,0.23258700513639596,0,34.02965514669083,13.617664978025148,True,
