level_index,shot_index,bird_start_x,bird_start_y,target_original_idx,angle_deg,velocity,destroyed_original_indices
0,0,0.5585944745591255,0.2773637165570155,4,12.315872907550633,11.205901796920921,1|3|4|5|6|7|8|9
0,1,0.7094503301280658,0.9061390257292299,2,74.66069094828018,9.214742217474111,
0,2,0.038913821930652515,0.28324060434356624,2,71.7393056350313,9.625858879339518,
0,3,0.8318483310118665,0.3037446958030324,0,49.23869828909283,10.947766545974131,3|4|5|8|9
0,4,0.41568667123806213,0.9146874115567701,2,72.78803937154217,9.254079424267003,
1,0,0.6188009392751832,0.33729220348359623,8,50.09620232032417,7.366586605574018,
1,1,0.19668396607435779,0.1575727090599508,3,28.90260233474727,10.730202809743716,
1,2,0.7926449271993246,0.014422216584202618,6,57.510262422449976,8.40654337011034,
1,3,0.7830625218762255,0.2345923299596494,8,52.09047856112307,7.351104832575666,
1,4,0.0748962393696857,0.5419392997037742,7,12.176431869554534,13.627058029854373,
2,0,0.6718788577758638,0.34037098520810427,6,27.064956893476474,9.488934004247286,0|2|3|6|7|8|9
2,1,0.9118666408706101,0.4214263894864393,4,38.530512745134224,12.4603608606081,2|3|5|6|7|8|9
2,2,0.37146726832523447,0.6704463402086396,4,36.641196613572156,12.568577409126458,2|3|5|6|7|8|9
2,3,0.5370754110073699,0.9822691329851819,4,36.09231728563747,12.443884193555629,2|3|5|6|7|8|9
2,4,0.7781407513940891,0.03701915076648343,4,39.30001771470943,12.595506576587429,2|3|5|6|7|8|9
3,0,0.9793704105091214,0.9482519303435386,9,28.631155889811694,7.371781315979791,0|3|4|7|8|9
3,1,0.7140032697548782,0.15424351219081323,6,39.32897033871302,10.926200513714264,
3,2,0.12135752422077883,0.8940274431860714,1,49.954523051149046,11.213255505547064,
3,3,0.19272120341452204,0.5665720599147916,1,51.120554258823475,11.303549718207734,
3,4,0.7508190209015504,0.8231691271215973,6,36.916843186017466,10.726138279004878,
4,0,0.22945628110739735,0.14297250460264044,2,27.10656435149114,8.609919092237933,0|1|2|3|4|6|8|9
4,1,0.40256379830027955,0.4048719874518917,5,20.876766038142602,13.392555753677339,0|1|2|4|6|8|9
4,2,0.9550949468633173,0.21265969782969574,7,54.28921751420281,11.230727600126965,0|1|4|9
4,3,0.2452557007920647,0.29024997388576,5,21.034922443093546,13.461127265120451,0|1|2|4|6|8|9
4,4,0.7346335290024307,0.04838432268247028,7,53.92656527295892,11.344606627459791,0|1|4|9
5,0,0.8038803358767871,0.6664109853234692,2,35.229212906837006,10.103857994833556,0|1|2|4|5|6|7|8|9
