n,m,BruteForce_Size,BruteForce_Time(s)
10,10,4,0.0001804828643798828
10,20,5,0.00024127960205078125
10,30,7,0.0005345344543457031
10,40,8,0.0011577606201171875
10,50,9,0.0013666152954101562
10,60,9,0.0012848377227783203
10,70,9,0.0007045269012451172
10,80,9,0.0007119178771972656
10,90,9,0.001280069351196289
10,100,9,0.0006847381591796875
